,Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
0,1006032852,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,,chiffon,ruffles,animal,1
1,1212192089,Casual,Low,0.0,L,Summer,o-neck,Petal,natural,microfiber,,ruffles,animal,0
2,1190380701,vintage,High,0.0,L,Automn,o-neck,full,natural,polyster,,,print,0
3,966005983,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,1
4,876339541,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0
5,1068332458,bohemian,Low,0.0,M,Summer,v-neck,sleevless,empire,,,,print,0
6,1220707172,Casual,Average,0.0,XL,Summer,o-neck,full,,cotton,,,solid,0
7,1219677488,Novelty,Average,0.0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,,0
8,1113094204,Flare,Average,0.0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1
9,985292672,bohemian,Low,0.0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,,,1
10,1117293701,party,Average,5.0,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0
11,898481530,Flare,Average,0.0,free,Spring,v-neck,short,,nylon,,,animal,0
12,957723897,sexy,Low,4.7,M,Winter,o-neck,threequarter,,,chiffon,lace,print,1
13,749031896,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,,animal,1
14,1055411544,Casual,Low,5.0,M,Summer,boat-neck,short,,cotton,,sashes,solid,0
15,1162628131,Casual,Low,0.0,free,Winter,boat-neck,full,,other,other,lace,,0
16,624314841,cute,Average,4.7,L,spring,o-neck,short,,cotton,,sashes,solid,1
17,830467746,bohemian,Medium,5.0,free,Automn,o-neck,full,natural,,,hollowout,patchwork,1
18,840857118,Brief,Average,0.0,M,Winter,peterpan-collor,threequarter,natural,cotton,,,patchwork,0
19,1113221101,Sexy,Average,5.0,M,Automn,o-neck,sleevless,empire,milksilk,,,,1
20,861754372,Sexy,Average,4.5,L,Automn,o-neck,full,,cotton,,beading,solid,0
21,856178100,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,,chiffon,,solid,0
22,1122989777,Brief,Low,4.0,XL,Summer,v-neck,short,natural,cotton,,pockets,solid,0
23,840516484,Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,,sequined,solid,1
24,768517084,Sexy,Average,0.0,free,Automn,v-neck,sleevless,natural,polyster,,lace,patchwork,0
25,1139843344,Sexy,Average,0.0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,,print,0
26,1004212992,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,,,,solid,1
27,1235426503,Casual,Low,0.0,L,Summer,o-neck,sleevless,natural,cotton,jersey,,print,0
28,942808364,cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,0
29,629131530,cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,1
30,851945460,Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,0
31,1150275464,Casual,Low,0.0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,1
32,1026634314,Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,0
33,978773911,Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,,,bow,solid,1
34,827791337,party,High,4.7,M,Spring,o-neck,threequarter,,,,,print,0
35,640823350,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,,,patchwork,1
36,801861988,vintage,Average,4.6,free,Winter,o-neck,full,natural,,chiffon,,print,1
37,1060207186,Brief,Average,0.0,M,Automn,o-neck,short,natural,cotton,,,print,0
38,1054679816,party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,,lace,solid,1
39,941190190,Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,,button,solid,1
40,943844640,Brief,Average,5.0,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,1
41,661795386,Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,0
42,875312593,Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,0
43,971387676,Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,,,print,0
44,1021185637,vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,,,patchwork,1
45,1163826114,Sexy,Average,0.0,M,Winter,o-neck,short,natural,,,lace,solid,0
46,735635595,Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,,lace,geometric,0
47,1175184188,Casual,Average,0.0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,1
48,679415939,Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,,,solid,0
